airline,airline_ID,source_airport_name,source_airport,source_airport_ID,destination_airport_name,destination_airport,destination_airport_ID,short_plane_code,short_code,capacity
AA,24,Dayton,DAY,3627,O’Hare International Airport,ORD,3830,ER4,ER4,50
AA,24,Dayton,DAY,3627,Philadelphia,PHL,3752,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Augusta,AGS,3658,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Albany International Airport,ALB,3864,E70 CRJ E75,E75,142
AA,24,Washington National Airport,DCA,3520,Hartford,BDL,3825,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Bangor,BGR,3463,CRJ E70,E70,78
AA,24,Washington National Airport,DCA,3520,Birmingham International Airport,BHM,3811,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Nashville,BNA,3690,ERD CRJ E70,E70,78
AA,24,Washington National Airport,DCA,3520,Logan International Airport,BOS,3448,319 E90,E90,108
AA,24,Washington National Airport,DCA,3520,Burlington,BTV,3711,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Buffalo,BUF,3820,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Columbia,CAE,3561,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Akron,CAK,4112,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Chattanooga,CHA,3578,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Charleston,CHS,3806,E70 CRJ E75,E75,142
AA,24,Washington National Airport,DCA,3520,Charlotte/Douglas International Airport,CLT,3876,319 320,320,179
AA,24,Washington National Airport,DCA,3520,Columbus,CMH,3759,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Charleston,CRW,4285,DH3,DH3,50
AA,24,Washington National Airport,DCA,3520,Cincinnati,CVG,3488,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Dayton,DAY,3627,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Dallas/Fort Worth International Airport,DFW,3670,738 M80,M80,142
AA,24,Washington National Airport,DCA,3520,Des Moines,DSM,3729,E70 CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Detroit Metropolitan Airport,DTW,3645,CRJ E70 E75,E75,142
AA,24,Washington National Airport,DCA,3520,Fayetteville,FAY,5738,DH3,DH3,50
AA,24,Washington National Airport,DCA,3520,Fort Lauderdale-Hollywood International Airport,FLL,3533,319,319,142
AA,24,Washington National Airport,DCA,3520,Greensboro,GSO,4008,CRJ E70 E75,E75,142
AA,24,Washington National Airport,DCA,3520,Greenville,GSP,4034,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Huntsville International Airport,HSV,4113,CRJ E70,E70,78
AA,24,Washington National Airport,DCA,3520,Indianapolis International Airport,IND,3585,E70 E75 CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Jackson,JAN,3580,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Jacksonville,JAX,3712,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Las Vegas McCarran International Airport,LAS,3877,319,319,142
AA,24,Washington National Airport,DCA,3520,Los Angeles International Airport,LAX,3484,738,738,189
AA,24,Washington National Airport,DCA,3520,La Guardia Airport,LGA,3697,319 E90,E90,108
AA,24,Washington National Airport,DCA,3520,Little Rock National Airport,LIT,3660,E70,E70,78
AA,24,Washington National Airport,DCA,3520,Kansas City,MCI,3458,E70 E75,E75,142
AA,24,Washington National Airport,DCA,3520,Orlando,MCO,3878,320 319,319,142
AA,24,Washington National Airport,DCA,3520,Memphis,MEM,3473,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Manchester,MHT,4011,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Miami International Airport,MIA,3576,738,738,189
AA,24,Washington National Airport,DCA,3520,Minneapolis/St. Paul International Airport,MSP,3858,E70 E75,E75,142
AA,24,Washington National Airport,DCA,3520,New Orleans International Airport,MSY,3861,E70 E75,E75,142
AA,24,Washington National Airport,DCA,3520,Myrtle Beach,MYR,3515,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Omaha,OMA,3454,E70,E70,78
AA,24,Washington National Airport,DCA,3520,O’Hare International Airport,ORD,3830,738 M83 M80,M80,142
AA,24,Washington National Airport,DCA,3520,West Palm Beach,PBI,3722,E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Portland International Airport,PDX,3720,737,737,189
AA,24,Washington National Airport,DCA,3520,Philadelphia,PHL,3752,319 320 DH3,DH3,50
AA,24,Washington National Airport,DCA,3520,Phoenix Sky Harbor International Airport,PHX,3462,320 757,757,142
AA,24,Washington National Airport,DCA,3520,Pittsburgh,PIT,3570,CRJ E75,E75,142
AA,24,Washington National Airport,DCA,3520,Pensacola,PNS,3564,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Providence - T.F. Greenland Airport,PVD,3641,CRJ E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,Portland,PWM,3862,E75 CRJ E70,E70,78
AA,24,Washington National Airport,DCA,3520,Raleigh,RDU,3626,ERD CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Fort Meyers,RSW,3793,E75 E70,E70,78
AA,24,Washington National Airport,DCA,3520,San Diego,SAN,3731,319,319,142
AA,24,Washington National Airport,DCA,3520,Savannah,SAV,3613,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Louisville,SDF,4014,CRJ E75,E75,142
AA,24,Washington National Airport,DCA,3520,Sarasota,SRQ,4067,CRJ,CRJ,70
AA,24,Washington National Airport,DCA,3520,Lambert International Airport,STL,3678,CR7,CR7,74
AA,24,Washington National Airport,DCA,3520,Syracuse,SYR,3745,E70 CRJ E75,E75,142
AA,24,Washington National Airport,DCA,3520,Tampa,TPA,3646,319,319,142
AA,24,Washington National Airport,DCA,3520,Knoxville,TYS,3676,CRJ,CRJ,70
